City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Avarua,CK,2021-10-25 17:59:21,-21.2078,-159.775,73.45,64,69,11.5
154,Port Lincoln,AU,2021-10-25 17:59:21,-34.7333,135.8667,57.74,79,9,12.97
155,Killarney,IE,2021-10-25 17:59:21,52.05,-9.5167,51.85,82,20,10.36
156,Lingao,CN,2021-10-25 17:59:22,19.9103,109.6859,70.5,83,60,6.15
157,Rongcheng,CN,2021-10-25 17:59:22,30.634,117.8517,54.86,86,13,2.51
158,Alexandria,EG,2021-10-25 17:55:26,31.2156,29.9553,76.96,61,0,5.75
159,Simao Dias,BR,2021-10-25 17:59:22,-10.7383,-37.8111,89.64,39,56,17.96
160,Vallenar,CL,2021-10-25 17:59:23,-28.5708,-70.7581,80.49,27,0,9.95
161,Airai,TL,2021-10-25 17:59:23,-8.9266,125.4092,61.2,91,61,0.31
162,Mount Isa,AU,2021-10-25 17:58:02,-20.7333,139.5,74.97,53,75,0.0
163,Tsabong,BW,2021-10-25 17:59:23,-26.0217,22.401,80.24,16,2,13.71
164,Cabo San Lucas,MX,2021-10-25 17:59:24,22.8909,-109.9124,87.62,68,2,5.37
165,Pevek,RU,2021-10-25 17:59:24,69.7008,170.3133,-2.18,98,100,3.98
166,Teahupoo,PF,2021-10-25 17:59:24,-17.8333,-149.2667,73.36,80,91,2.48
167,Kralendijk,BQ,2021-10-25 17:59:24,12.15,-68.2667,82.44,78,14,19.51
168,Malanje,AO,2021-10-25 17:59:25,-9.5402,16.341,65.55,94,100,2.44
169,Sinnamary,GF,2021-10-25 17:59:25,5.3833,-52.95,79.14,89,67,10.87
170,Kaabong,UG,2021-10-25 17:59:25,3.4836,34.1492,73.29,52,90,20.47
171,Porto Walter,BR,2021-10-25 17:59:26,-8.2686,-72.7439,83.66,59,100,6.42
172,Hami,CN,2021-10-25 17:59:26,42.8,93.45,48.22,33,0,4.59
173,Gilbues,BR,2021-10-25 17:59:26,-9.8317,-45.3439,91.51,38,64,12.41
174,Solnechnyy,RU,2021-10-25 17:59:27,50.7214,136.6319,34.95,77,66,3.91
175,Ixtapa,MX,2021-10-25 17:59:27,20.7,-105.2,86.23,74,99,4.0
176,Bhinmal,IN,2021-10-25 17:59:27,25.0,72.25,83.1,31,83,3.85
177,Limon,CR,2021-10-25 17:59:27,10.0,-83.0333,85.89,74,40,9.22
